horizon,variable,coef,t_stat,p_value,model_llf,model_pseudo_r2
2h,gbdt_score,-0.08741976672626005,-0.5116737273740761,0.6088793764479284,-458.5311212014136,0.006903168537343962
2h,knn_score,0.16004447832278934,1.2972297797481243,0.19455213713029362,-458.5311212014136,0.006903168537343962
2h,flair_score,0.07884938532073732,0.6119436151969464,0.5405750635406277,-458.5311212014136,0.006903168537343962
2h,vader_score,-0.10311002791421714,-0.6807350048212076,0.49603918260547997,-458.5311212014136,0.006903168537343962
5h,distilbert_score,0.1913340692505232,1.4693188813799172,0.14174631787693245,-433.9742380903465,0.0099804175354673
5h,svc_score,0.015175866752073065,0.104906686192827,0.9164498534327152,-433.9742380903465,0.0099804175354673
5h,gbdt_score,-0.10329249746278218,-0.5730192659961927,0.5666316492991021,-433.9742380903465,0.0099804175354673
5h,knn_score,0.27829173296497545,2.1357033612035643,0.03270360027202795,-433.9742380903465,0.0099804175354673
5h,flair_score,-0.05483465270657856,-0.4066326897836824,0.6842777840658116,-433.9742380903465,0.0099804175354673
5h,vader_score,-0.07599866624963737,-0.48508561115734833,0.6276156183563391,-433.9742380903465,0.0099804175354673
12h,distilbert_score,0.18604383124153817,1.6675356356849365,0.09540794459683849,-590.5365382401073,0.010992127126851936
12h,svc_score,-0.04300830759624107,-0.35260797568605406,0.7243823574657519,-590.5365382401073,0.010992127126851936
12h,gbdt_score,-0.30581114759853584,-2.030007906322536,0.04235573563147831,-590.5365382401073,0.010992127126851936
12h,knn_score,0.2558523865135577,2.239667924337134,0.025112489420096182,-590.5365382401073,0.010992127126851936
12h,flair_score,-0.09162166429577459,-0.804852308128001,0.4209049123665075,-590.5365382401073,0.010992127126851936
12h,vader_score,-0.08432232556328059,-0.632962150612083,0.5267583599770755,-590.5365382401073,0.010992127126851936
24h,distilbert_score,0.20479285425425428,1.8085213541418834,0.07052539637026599,-552.8694827194333,0.00534722452774794
24h,svc_score,0.11614765042054491,0.93328817465504,0.3506711991027003,-552.8694827194333,0.00534722452774794
24h,gbdt_score,0.1522817571704742,0.9845161307629474,0.3248618041841864,-552.8694827194333,0.00534722452774794
24h,knn_score,-0.04205698148054976,-0.3777989005385279,0.7055799905387132,-552.8694827194333,0.00534722452774794
