Date,Close,Open,High,Low,Return,Return%,Log Return,Log Return-3d,Log Return-5d,SMA-5d,SMA-8d,SMA-13d,SMA-21d,EMA-5d,EMA-8d,EMA-12d,EMA-26d,RSI-14d,RSI-21d,UpperBollingerBand,LowerBollingerBand,MACD,Stoc%K,TR,ATR,Gain,Loss,,,,,
5/14/2025,5892.58,5896.74,5906.55,5872.11,24.35,0.004132316,1.386498966,1.851380668,-1.680969718,5919.426667,5898.103333,5907.260714,5940.967273,5913.644483,5913.623871,5919.709681,NA,41.61935166,44.02023723,6006.009182,5832.844151,NA,42.37674052,20.19,52.208,0,24.35,,,,,
5/13/2025,5886.55,5854.15,5906.64,5845.02,6.03,0.001024369,0.780317312,1.856305866,1.731669332,5926.416667,5894.215556,5901.273571,5936.857273,5904.612989,5907.607455,5914.608191,5944.1464,41.12677846,37.6657289,5979.471482,5873.361851,-29.53820851,88.17990818,38.43,78.214,0,6.03,,,,,
5/12/2025,5844.19,5807.2,5845.37,5786.08,42.36,0.007248224,1.626955951,1.861773297,2.077040698,5910.371667,5898.812222,5894.72,5927.717727,5884.471992,5893.514687,5903.774624,5936.742222,40.4476835,36.56652231,5974.801969,5845.941364,-32.96759866,79.20230369,79.35,72.54,0,42.36,,,,,
5/9/2025,5659.91,5679.65,5691.69,5644.15,184.28,0.032558822,2.265478204,2.36674039,2.474900686,5859.756667,5878.578889,5876.735714,5911.248182,5809.617995,5841.602535,5866.256989,5916.236132,30.3382895,27.18624311,5934.830971,5784.682363,-49.97914252,11.21557566,164.54,78.454,0,184.28,,,,,
5/8/2025,5663.94,5663.6,5720.1,5635.38,-4.03,-0.000711519,-0.605305046,2.34754467,2.403103355,5810.683333,5858.504444,5859.005,5894.208636,5761.058663,5802.121971,5835.131299,5897.547529,30.72239566,28.66927837,5996.801023,5624.565644,-62.41623081,24.03489548,60.19,75.85,4.03,0,,,,,
5/7/2025,5631.28,5614.18,5654.73,5578.64,32.66,0.005799747,1.51401618,2.32819606,2.41713941,5763.075,5824.151111,5840.628571,5877.181364,5717.799109,5764.157089,5803.76956,5877.824009,30.29699634,27.73031159,5973.966526,5552.183474,-74.05444835,42.73189549,49.76,75.274,0,32.66,,,,,
5/6/2025,5606.91,5605.87,5649.58,5586.04,24.37,0.004346423,1.386855529,1.72427587,2.446599293,5715.463333,5784.518889,5818.155,5859.297273,5680.836073,5729.213291,5773.483474,5857.756304,25.58168413,29.01498794,5927.712427,5503.214239,-84.27283021,0,25.41,52.43,0,24.37,,,,,
5/5/2025,5650.38,5655.32,5683.38,5634.48,-43.47,-0.007693288,-1.63818964,1.13225969,2.287376182,5676.101667,5750.296667,5807.266429,5846.164545,5670.684048,5711.694782,5754.544478,5842.395097,36.60456942,30.07102608,5844.215703,5507.98763,-87.8506185,56.02811099,76.47,52.698,43.47,0,,,,,
5/2/2025,5686.67,5645.88,5700.7,5642.28,-36.29,-0.006381591,-1.559786968,-1.743431365,-1.427486109,5649.848333,5724.712222,5796.170714,5833.249091,5676.012699,5706.133719,5744.102251,5830.859904,36.27980922,33.10867132,5691.966371,5607.730296,-86.75765356,100,50.32,63.686,36.29,0,,,,,
5/1/2025,5604.14,5625.14,5658.91,5597.35,82.53,0.014726613,1.916611845,0.442479769,1.776701184,5640.553333,5692.663333,5778.994286,5816.602273,5652.055133,5683.468448,5722.569597,5814.065837,31.3886352,31.31504257,5695.127532,5585.979135,-91.49624053,34.41671964,61.53,70.642,0,82.53,,,,,
